X,Y,OBJECTID,PRJ_NUMBER,FILE_NUMBR,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,TYPE,OPERATING,OP_CLASS,LOTS,APPDATE,PRISTATUS,SECSTATUS,ONUMBER,OROUTE,FSOURCE,DATASOURCE,NOTES,LAT_DD,LONG_DD,MGRS,GOOGLEMAP,GCID,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE
-81.351437,27.31859194,2011,PRMZ000790,8531,TROPICAL HARBOR ESTATES,690 RICKERT DR,LAKE PLACID,33852,HIGHLANDS,MOBILE HOME PARK,PRIVATE,PRIVATE,449,1/24/1986,APPROVED, ,DE00010967,"ATTN: RICKERT PROPERTIES, INC",GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETNAME, SCORE: 100, [RICKERT DR, LAKE PLACID, FLORIDA, 33852]",27.31859194,-81.351437,17RML6523121772,https://www.google.com/maps/place/17RML6523121772,2011,TROPICAL HARBOR ESTATES,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.63027514,28.09070589,2012,PRMZ001824,9435,TROPICAL HAVEN,1205 S EDDIE ALLEN RD,MELBOURNE,32901,BREVARD,MOBILE HOME PARK,PRIVATE,QUASI-PUBLIC,759,3/11/1986,APPROVED, ,DE00012795, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 92.43, [1205 EDDIE ALLEN RD, MELBOURNE, FLORIDA, 32901]",28.0907059,-80.63027514,17RNM3632207306,https://www.google.com/maps/place/17RNM3632207306,2012,TROPICAL HAVEN,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.32115564,27.36641431,2013,PRMZ001142,8842,TROPICAL ISLES MHP,281 TROPICAL ISLES CIR,FORT PIERCE,34982,ST LUCIE,MOBILE HOME PARK,PRIVATE,PRIVATE,159,6/5/1987,APPROVED, ,DE43091, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [281 TROPICAL ISLES CIR, FORT PIERCE, FLORIDA, 34982]",27.36641431,-80.32115564,17RNL6713327203,https://www.google.com/maps/place/17RNL6713327203,2013,TROPICAL ISLES MHP,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.90798145,26.75320478,2014,PRMZ001706,9334,TROPICAL MH VILLAGE,1550 E US HWY 27,CLEWISTON,33440,HENDRY,MOBILE HOME PARK,PRIVATE,PRIVATE,272,6/24/1986,APPROVED, ,DE00012641, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 96.67, [1550 US-27 S, CLEWISTON, FLORIDA, 33440]",26.75320478,-80.90798145,17RNK0914959104,https://www.google.com/maps/place/17RNK0914959104,2014,TROPICAL MH VILLAGE,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.22063008,25.84659321,2015,PRMZ000857,8590,TROPICAL MOBILE HOME PARK,1398 NW 79TH ST,MIAMI,33150,DADE,MOBILE HOME PARK,PRIVATE,PRIVATE,138,2/9/1987,APPROVED,DELINQUENT,DE00011836,C/O CONSOLIDATED COMPANIES GROUP CO,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 92.08, [1398 NW 79TH ST, MIAMI, FLORIDA, 33147]",25.84659321,-80.22063008,17RNJ7810058927,https://www.google.com/maps/place/17RNJ7810058927,2015,TROPICAL MOBILE HOME PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.93314528,26.77325662,2016,PRMZ000885,8614,TROPICAL PALMS,17100 TAMIAMI TR,PUNTA GORDA,33955,CHARLOTTE,MOBILE HOME PARK,PRIVATE,PRIVATE,297,5/7/1987,APPROVED, ,DE42848,ATTN: DIVERSIFIED INVESTMENT SVCS LLC,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [17100 TAMIAMI TRL, PUNTA GORDA, FLORIDA, 33955]",26.77325662,-81.93314528,17RMK0723061662,https://www.google.com/maps/place/17RMK0723061662,2016,TROPICAL PALMS,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.71545142,28.41991447,2017,PRMZ000858,8591,TROPICAL TRAIL VILLAGE,3535 N TROPICAL TR,MERRITT ISLAND,32953,BREVARD,MOBILE HOME PARK,PRIVATE,PRIVATE,62,9/19/1985,APPROVED, ,DE45195, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [3535 N TROPICAL TRL, MERRITT ISLAND, FLORIDA, 32953]",28.41991447,-80.71545142,17RNM2786843753,https://www.google.com/maps/place/17RNM2786843753,2017,TROPICAL TRAIL VILLAGE,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.8757509,26.62492847,2018,PRMZ002820,9609,TROPICAL TRAILER PARK,1825 LINHART AVE,FORT MYERS,33901,LEE,MOBILE HOME PARK,PRIVATE,PRIVATE,90,7/3/1990,APPROVED, ,DE00022987, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [1825 LINHART AVE, FORT MYERS, FLORIDA, 33901]",26.62492847,-81.8757509,17RMK1282445192,https://www.google.com/maps/place/17RMK1282445192,2018,TROPICAL TRAILER PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.05428977,26.58740877,2019,PRMZ001471,9124,TROPICAL TRAILER PARK,420 N 4TH ST,LANTANA,33462,PALM BEACH,MOBILE HOME PARK,PRIVATE,PRIVATE,50,1/6/1987,APPROVED, ,DE40266,C/O ASSET RECOVERY GROUP,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [420 N 4TH ST, LANTANA, FLORIDA, 33462]",26.58740877,-80.05428977,17RNK9417141086,https://www.google.com/maps/place/17RNK9417141086,2019,TROPICAL TRAILER PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.78132052,26.33744141,2020,PRMY002871,7562,TROPICAL TRAILER PARK,27500 OREGON STREET,BONITA SPRINGS,34135,LEE,MOBILE HOME PARK,PRIVATE,PRIVATE,14,7/16/1987,APPROVED, ,DE44247, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [27500 OREGON ST, BONITA SPRINGS, FLORIDA, 34135]",26.33744142,-81.78132053,17RMK2203113290,https://www.google.com/maps/place/17RMK2203113290,2020,TROPICAL TRAILER PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.96671213,26.50059142,2021,PRMZ000675,8432,TROPICANA CO-OP INC,16711 MCGREGOR BLVD,FORT MYERS,33908,LEE,MOBILE HOME PARK,PRIVATE,PRIVATE,333,12/24/1985,APPROVED, ,DE44095, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [16711 MCGREGOR BLVD, FORT MYERS, FLORIDA, 33908]",26.50059142,-81.96671213,17RMK0366531486,https://www.google.com/maps/place/17RMK0366531486,2021,TROPICANA CO-OP INC,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.5754489,27.44125362,2022,PRMZ001464,9119,TRY MOR MOBILE HOME PARK,5624 14TH ST W,BRADENTON,34207,MANATEE,MOBILE HOME PARK,PRIVATE,PRIVATE,66,9/30/1985,APPROVED, ,DE42623,"MICHAEL P HICKMAN, MGR",GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [5624 14TH ST W, BRADENTON, FLORIDA, 34207]",27.44125362,-82.5754489,17RLL4429536296,https://www.google.com/maps/place/17RLL4429536296,2022,TRY MOR MOBILE HOME PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.39815127,27.71582141,2023,PRMY003583,7812,TUCK-A-WAY,301 27TH ST SE,RUSKIN,33570,HILLSBOROUGH,MOBILE HOME PARK,PRIVATE,PRIVATE,12,8/24/2000,APPROVED, ,DE42038, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [301 27TH ST SE, RUSKIN, FLORIDA, 33570]",27.71582141,-82.39815127,17RLL6216366505,https://www.google.com/maps/place/17RLL6216366505,2023,TUCK-A-WAY,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.10780217,28.75753866,2024,PRMY003142,7676,TURTLEBACK RV RESORT,190 COUNTY ROAD 488,LAKE PANASOFFKEE,33538,SUMTER,MOBILE HOME PARK,PRIVATE,PRIVATE,13,9/4/1987,APPROVED,DELINQUENT,DE46352, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [190 CR-488, LAKE PANASOFFKEE, FLORIDA, 33538]",28.75753866,-82.10780217,17RLM9184681627,https://www.google.com/maps/place/17RLM9184681627,2024,TURTLEBACK RV RESORT,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.26808058,28.69814911,2025,PRMZ001016,8731,TUSKAWILLA TRAILS,1070 CHEYENNE TRAIL,WINTER SPRINGS,32708,SEMINOLE,MOBILE HOME PARK,PRIVATE,PRIVATE,162,3/22/1985,APPROVED, ,DE00019501, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [1070 CHEYENNE TRL, WINTER SPRINGS, FLORIDA, 32708]",28.69814911,-81.26808058,17RMM7381374573,https://www.google.com/maps/place/17RMM7381374573,2025,TUSKAWILLA TRAILS,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.73677149,28.80099158,2026,PRMZ001462,9117,TWEEN WATERS MOBILE MANOR,210 S LAKE ST,TAVARES,32778,LAKE,MOBILE HOME PARK,PRIVATE,PRIVATE,42,11/7/1985,APPROVED, ,DE00012414,C/O GREENLEE KURRAS RICE BROWN,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 90.92, [210 S LAKE AVE, TAVARES, FLORIDA, 32778]",28.80099158,-81.7367715,17RMM2810086160,https://www.google.com/maps/place/17RMM2810086160,2026,TWEEN WATERS MOBILE MANOR,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.7908697,27.83988781,2027,PRMZ001349,9023,TWELVE OAKS MHP,10999 74TH AVE N,SEMINOLE,33772,PINELLAS,MOBILE HOME PARK,PRIVATE,PRIVATE,91,10/16/1985,APPROVED, ,DE00012318, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [10999 74TH AVE N, SEMINOLE, FLORIDA, 33772]",27.83988781,-82.7908697,17RLL2364180754,https://www.google.com/maps/place/17RLL2364180754,2027,TWELVE OAKS MHP,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.62340349,27.86793405,2028,PRMZ001235,8920,TWIN CITY MHP,10636 GANDY BLVD,ST PETERSBURG,33702,PINELLAS,MOBILE HOME PARK,PRIVATE,PRIVATE,101,9/18/1985,APPROVED,DELINQUENT,DE45445,ATTN: MHC MANAGEMENT SERVICES LLC,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 92.43, [10636 GANDY BLVD N, ST PETERSBURG, FLORIDA, 33702]",27.86793405,-82.62340349,17RLL4017783631,https://www.google.com/maps/place/17RLL4017783631,2028,TWIN CITY MHP,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.78691971,27.83081063,2029,PRMY002751,7507,TWIN LAKE MOBILE HOME PARK,6401 SEMINOLE BLVD,SEMINOLE,33772,PINELLAS,MOBILE HOME PARK,PRIVATE,PRIVATE,24,9/10/1985,APPROVED, ,DE00017607, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [6401 SEMINOLE BLVD, SEMINOLE, FLORIDA, 33772]",27.83081063,-82.78691971,17RLL2401679742,https://www.google.com/maps/place/17RLL2401679742,2029,TWIN LAKE MOBILE HOME PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.73780062,27.96045295,2030,PRMZ001689,9319,TWIN LAKES LODGE,2419 GULF TO BAY BLVD,CLEARWATER,33765,PINELLAS,MOBILE HOME PARK,PRIVATE,PRIVATE,214,6/19/1985,APPROVED, ,DE00012676, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [2419 GULF TO BAY BLVD, CLEARWATER, FLORIDA, 33765]",27.96045295,-82.73780062,17RLL2905894037,https://www.google.com/maps/place/17RLL2905894037,2030,TWIN LAKES LODGE,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.9153757,26.73844033,2031,PR7543,7564,TWIN LAKES M H ESTATES,STATE ROAD 832,CLEWISTON,33440,HENDRY,MOBILE HOME PARK,PRIVATE,PRIVATE,40,5/17/2004,APPROVED, ,DE36487, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETNAME, SCORE: 100, [STATE ROAD 832, CLEWISTON, FLORIDA, 33440]",26.73844033,-80.9153757,17RNK0841557468,https://www.google.com/maps/place/17RNK0841557468,2031,TWIN LAKES M H ESTATES,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-84.27478195,30.38630096,2032,PRMZ002762,9592,TWIN LAKES MHP,3991 WOODVILLE HWY,TALLAHASSEE,32305,LEON,MOBILE HOME PARK,PRIVATE,PRIVATE,72,2/26/1993,APPROVED, ,DE44875,JOHN R HETTINGER,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [3991 WOODVILLE HWY, TALLAHASSEE, FLORIDA, 32305]",30.38630096,-84.27478195,16RGU6186664744,https://www.google.com/maps/place/16RGU6186664744,2032,TWIN LAKES MHP,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.15783112,26.70310081,2033,PR9819,9870,TWIN LAKES MOBILE HOME PARK,1701 SKEES RD,WEST PALM BEACH,33411,PALM BEACH,MOBILE HOME PARK,PRIVATE,PRIVATE,78,12/9/2015,APPROVED, ,DE00008659, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [1701 SKEES RD, WEST PALM BEACH, FLORIDA, 33411]",26.70310081,-80.15783112,17RNK8377653828,https://www.google.com/maps/place/17RNK8377653828,2033,TWIN LAKES MOBILE HOME PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.55489108,27.45882006,2034,PRMZ001241,8926,TWIN OAKS MHP,4530 9TH ST E,BRADENTON,34203,MANATEE,MOBILE HOME PARK,PRIVATE,PRIVATE,50,10/17/1985,APPROVED,DELINQUENT,DE00017666, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [4530 9TH ST E, BRADENTON, FLORIDA, 34203]",27.45882006,-82.55489108,17RLL4635138217,https://www.google.com/maps/place/17RLL4635138217,2034,TWIN OAKS MHP,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.11074931,29.18588112,2035,PRMZ001674,9309,TWIN OAKS MHP,17 SE 20TH CT,OCALA,34471,MARION,MOBILE HOME PARK,PRIVATE,PRIVATE,48,8/1/1985,APPROVED, ,DE42533,C/O DEBOLT PROPERTIES,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [17 SE 20TH CT, OCALA, FLORIDA, 34471]",29.18588112,-82.11074931,17RLN9200429090,https://www.google.com/maps/place/17RLN9200429090,2035,TWIN OAKS MHP,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.30622375,28.00114868,2036,PRMY002712,7484,TWIN PALMS COURT,11520 US 92 E BOX D-4,SEFFNER,33584,HILLSBOROUGH,MOBILE HOME PARK,PRIVATE,PRIVATE,3,12/31/1984,APPROVED, ,DE45642, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 92.43, [11520 E US-92, SEFFNER, FLORIDA, 33584]",28.00114868,-82.30622375,17RLL7156498017,https://www.google.com/maps/place/17RLL7156498017,2036,TWIN PALMS COURT,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.72923162,27.90290006,2037,PRMZ001231,8916,TWIN PALMS MANUFACTURED HOME COMMUNITY,14300 66TH ST N,CLEARWATER,33764,PINELLAS,MOBILE HOME PARK,PRIVATE,PRIVATE,149,10/2/1985,APPROVED, ,DE45001,ATTN: LAKESHORE MANAGEMENT,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [14300 66TH ST N, CLEARWATER, FLORIDA, 33764]",27.90290006,-82.72923162,17RLL2981187648,https://www.google.com/maps/place/17RLL2981187648,2037,TWIN PALMS MANUFACTURED HOME COMMUNITY,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.68198096,26.70041309,2038,PRMZ002134,9528,TWIN PALMS MHP,1508 NW AVE P,BELLE GLADE,33430,PALM BEACH,MOBILE HOME PARK,PRIVATE,PRIVATE,35,11/12/1987,APPROVED, ,DE00013470,C/O TWIN PALMS MHP,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [1508 NW AVENUE P, BELLE GLADE, FLORIDA, 33430]",26.70041309,-80.68198096,17RNK3163653293,https://www.google.com/maps/place/17RNK3163653293,2038,TWIN PALMS MHP,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.0189612,28.04019177,2039,PRMZ001694,9324,TWIN PALMS MOBILE HOME PARK,301 NORTH GALLOWAY RD,LAKELAND,33815,POLK,MOBILE HOME PARK,PRIVATE,PRIVATE,222,12/17/1985,APPROVED, ,DE00018156, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [301 N GALLOWAY RD, LAKELAND, FLORIDA, 33815]",28.04019177,-82.0189612,17RLM9984702073,https://www.google.com/maps/place/17RLM9984702073,2039,TWIN PALMS MOBILE HOME PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.85899169,28.86216695,2040,PRMY001918,7159,TWIN PALMS TRAILER PARK,35301 CROSS ST,FRUITLAND PARK,34731,LAKE,MOBILE HOME PARK,PRIVATE,PRIVATE,23,11/26/1984,APPROVED, ,DE43573,C/O V.M. PROPERTIES LLC,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [35301 CROSS ST, FRUITLAND PARK, FLORIDA, 34731]",28.86216695,-81.85899169,17RMM1622293018,https://www.google.com/maps/place/17RMM1622293018,2040,TWIN PALMS TRAILER PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.88305663,26.670003,2041,PRMZ000983,8701,TWIN PINES VILLAGE MOBILE HOME PARK,1305 RIVER RD,NORTH FORT MYERS,33903,LEE,MOBILE HOME PARK,PRIVATE,PRIVATE,89,8/12/1985,APPROVED, ,DE00020119,"C/O PASTER, RAY, & COHEN, P.A.",GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [1305 RIVER RD, NORTH FORT MYERS, FLORIDA, 33903]",26.67000301,-81.88305663,17RMK1213150190,https://www.google.com/maps/place/17RMK1213150190,2041,TWIN PINES VILLAGE MOBILE HOME PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.88306113,26.67037029,2042,PRMZ000337,8141,TWIN PINES VILLAGE MOBILE HOME PARK,1319 RIVER RD,NORTH FORT MYERS,33903,LEE,MOBILE HOME PARK,PRIVATE,PRIVATE,70,9/23/1985,APPROVED, ,DE00020119,"C/O PASTER, RAY, & COHEN, P.A.",GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [1319 RIVER RD, NORTH FORT MYERS, FLORIDA, 33903]",26.6703703,-81.88306113,17RMK1213150231,https://www.google.com/maps/place/17RMK1213150231,2042,TWIN PINES VILLAGE MOBILE HOME PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
